bblid,scanid,restExclude,restExcludeVoxelwise,restNoDataExclude,restRelMeanRMSMotion,restRelMeanRMSMotionExclude,restNSpikesMotion,restNSpikesMotionExclude,restNormCrossCorr,restNormCoverage,restCoregCrossCorr,restCoregCoverage,restVoxelwiseCoverageExclude,restRpsMapCorrectionNotApplied
91726,6874,0,0,0,0.0864372,0,6,0,0.91492259,0.9905568081,0.89336134,0.9947817813,0,0
97646,6875,0,0,0,0.182941,0,16,0,0.90696697,0.9897805096,0.87682527,0.9923745123,0,0
93771,6877,0,0,0,0.115934,0,15,0,0.91932951,0.9797524353,0.90616296,0.9851350627,0,0
93321,6878,1,1,0,0.724203,1,76,1,0.90444892,0.9672359522,0.88111202,0.9709939979,0,0
91025,6881,0,0,0,0.0300885,0,0,0,0.92173048,0.9856544303,0.89874175,0.9886776701,0,0
92043,6882,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
90849,6883,1,1,0,0.408009,1,37,1,0.9016357,0.9593613085,0.87456549,0.9670731613,0,0
93204,6898,0,0,0,0.054345,0,0,0,0.9182342,0.9906152963,0.90223333,0.9939638049,0,0
93549,6901,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
93948,6902,0,0,0,0.077849,0,3,0,0.91101904,0.9869571229,0.89150795,0.9909156277,0,0
87601,6917,0,0,0,0.0662851,0,2,0,0.91150537,0.9814060573,0.88715075,0.9858180877,0,0
93867,6952,0,0,0,0.0777227,0,2,0,0.90038773,0.9771523672,0.87690018,0.9802341577,0,0
92848,6953,0,0,0,0.0415359,0,0,0,0.91124992,0.9832032414,0.88799854,0.9875616253,0,0
97994,6954,0,0,0,0.0926089,0,6,0,0.91313369,0.9893498235,0.88464635,0.9923461231,0,0
105370,6955,1,1,0,0.29103,1,38,1,0.91353265,0.9896369476,0.88632202,0.9929990212,0,0
93330,6960,0,0,0,0.0383477,0,1,0,0.91807946,0.9904185632,0.89682643,0.993563426,0,0
95939,6961,0,0,0,0.0741499,0,5,0,0.90270595,0.9804064401,0.88035302,0.9859933338,0,0
90732,6962,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
98902,6963,0,0,0,0.0302693,0,0,0,0.901064,0.9814751798,0.87791207,0.9862423336,0,0
99518,6964,0,0,0,0.0547534,0,1,0,0.90960967,0.9640775874,0.89686037,0.9680678294,0,0
